log_attempts,failure_rate,approval_rate,infra_share,cards_per_attempt,small_amount_share,burstiness,recovery_rate,top_session_failure_share,log_failing_sessions,is_abuse,group,origin
1.386294,0.666667,0.333333,0,0.333333,0,0.78125,1,0.2,2.197225,0,customer_error_0,customer_error
1.098612,0.5,0.5,0,0.5,0,0,1,0.2,2.197225,0,customer_error_0,customer_error
1.098612,0.5,0.5,0,0.5,0,0,1,0.2,2.197225,0,customer_error_0,customer_error
3.828641,0.333333,0.666667,0,0.666667,0,1.200209,0.266667,0.2,2.197225,0,customer_error_0,customer_error
4.248495,0.985507,0.014493,0,1,1,1.107547,0,1,0.693147,1,attack_loud_1,attack_loud
4.248495,0.985507,0.014493,0,1,1,1.107547,0,1,0.693147,1,attack_loud_1,attack_loud
1.098612,1,0,0,1,1,0,0,0.035088,3.465736,1,attack_distributed_1,attack_distributed
1.098612,1,0,0,1,1,0,0,0.035088,3.465736,1,attack_distributed_1,attack_distributed
1.098612,1,0,0,1,1,0,0,0.035088,3.465736,1,attack_distributed_1,attack_distributed
1.098612,1,0,0,1,1,0,0,0.035088,3.465736,1,attack_distributed_1,attack_distributed
4.094345,0.966102,0.033898,0,1,1,0.900354,0,0.035088,3.465736,1,attack_distributed_1,attack_distributed
2.564949,0.916667,0.083333,0,1,1,0.548298,0,0.261905,1.609438,1,attack_low_amplitude_1,attack_low_amplitude
2.564949,0.916667,0.083333,0,1,1,0.636993,0,0.261905,1.609438,1,attack_low_amplitude_1,attack_low_amplitude
2.484907,1,0,0,1,1,0.647268,0,0.261905,1.609438,1,attack_low_amplitude_1,attack_low_amplitude
2.484907,0.818182,0.181818,0,1,1,0.452651,0,0.261905,1.609438,1,attack_low_amplitude_1,attack_low_amplitude
3.850148,0.913043,0.086957,0,1,1,1.319255,0,0.261905,1.609438,1,attack_low_amplitude_1,attack_low_amplitude
0.693147,1,0,1,1,0,0,0,0.02439,3.73767,0,gateway_outage_1,gateway_outage
0.693147,1,0,1,1,0,0,0,0.02439,3.73767,0,gateway_outage_1,gateway_outage
0.693147,1,0,1,1,0,0,0,0.02439,3.73767,0,gateway_outage_1,gateway_outage
0.693147,1,0,1,1,0,0,0,0.02439,3.73767,0,gateway_outage_1,gateway_outage
0.693147,1,0,1,1,0,0,0,0.02439,3.73767,0,gateway_outage_1,gateway_outage
0.693147,1,0,1,1,0,0,0,0.02439,3.73767,0,gateway_outage_1,gateway_outage
0.693147,1,0,1,1,0,0,0,0.02439,3.73767,0,gateway_outage_1,gateway_outage
0.693147,1,0,1,1,0,0,0,0.02439,3.73767,0,gateway_outage_1,gateway_outage
4.158883,0.650794,0.349206,1,1,0,0.920434,0,0.02439,3.73767,0,gateway_outage_1,gateway_outage
3.258097,0.92,0.08,0,0.16,0,0.506353,0,0.547619,1.098612,0,retry_storm_1,retry_storm
3.258097,0.76,0.24,0,0.16,0,0.547727,0,0.547619,1.098612,0,retry_storm_1,retry_storm
3.931826,0.84,0.16,0,0.16,0,0.807776,0,0.547619,1.098612,0,retry_storm_1,retry_storm
0.693147,1,0,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_1,normal_traffic
0.693147,1,0,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_1,normal_traffic
0.693147,1,0,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_1,normal_traffic
0.693147,0,1,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_1,normal_traffic
0.693147,0,1,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_1,normal_traffic
0.693147,0,1,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_1,normal_traffic
0.693147,0,1,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_1,normal_traffic
0.693147,0,1,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_1,normal_traffic
3.931826,0.06,0.94,0,1,0,0.825041,0,0.333333,1.386294,0,normal_traffic_1,normal_traffic
0.693147,1,0,0,1,0,0,0,0.076923,2.639057,0,flash_sale_1,flash_sale
0.693147,1,0,0,1,0,0,0,0.076923,2.639057,0,flash_sale_1,flash_sale
0.693147,1,0,0,1,0,0,0,0.076923,2.639057,0,flash_sale_1,flash_sale
0.693147,1,0,0,1,0,0,0,0.076923,2.639057,0,flash_sale_1,flash_sale
0.693147,1,0,0,1,0,0,0,0.076923,2.639057,0,flash_sale_1,flash_sale
0.693147,1,0,0,1,0,0,0,0.076923,2.639057,0,flash_sale_1,flash_sale
0.693147,1,0,0,1,0,0,0,0.076923,2.639057,0,flash_sale_1,flash_sale
0.693147,1,0,0,1,0,0,0,0.076923,2.639057,0,flash_sale_1,flash_sale
4.990433,0.089041,0.910959,0,1,0,0.949539,0,0.076923,2.639057,0,flash_sale_1,flash_sale
1.609438,0.75,0.25,0,0.25,0,0.268823,1,0.5,1.386294,0,customer_error_1,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.390244,1,0.5,1.386294,0,customer_error_1,customer_error
1.098612,0.5,0.5,0,0.5,0,0,1,0.5,1.386294,0,customer_error_1,customer_error
0.693147,0,1,0,1,0,0,0,0.5,1.386294,0,customer_error_1,customer_error
0.693147,0,1,0,1,0,0,0,0.5,1.386294,0,customer_error_1,customer_error
0.693147,0,1,0,1,0,0,0,0.5,1.386294,0,customer_error_1,customer_error
0.693147,0,1,0,1,0,0,0,0.5,1.386294,0,customer_error_1,customer_error
0.693147,0,1,0,1,0,0,0,0.5,1.386294,0,customer_error_1,customer_error
3.806662,0.136364,0.863636,0,0.863636,0,1.011649,0.078947,0.5,1.386294,0,customer_error_1,customer_error
3.970292,0.980769,0.019231,0,1,1,0.927093,0,1,0.693147,1,attack_loud_2,attack_loud
3.970292,0.980769,0.019231,0,1,1,0.927093,0,1,0.693147,1,attack_loud_2,attack_loud
1.386294,1,0,0,1,1,0.272189,0,0.066667,3.091042,1,attack_distributed_2,attack_distributed
1.386294,1,0,0,1,1,0.313631,0,0.066667,3.091042,1,attack_distributed_2,attack_distributed
1.386294,1,0,0,1,1,0.221219,0,0.066667,3.091042,1,attack_distributed_2,attack_distributed
1.386294,1,0,0,1,1,0.221279,0,0.066667,3.091042,1,attack_distributed_2,attack_distributed
3.850148,0.978261,0.021739,0,1,1,0.975217,0,0.066667,3.091042,1,attack_distributed_2,attack_distributed
2.944439,1,0,0,1,1,0.850774,0,0.5,1.098612,1,attack_low_amplitude_2,attack_low_amplitude
2.944439,1,0,0,1,1,0.839232,0,0.5,1.098612,1,attack_low_amplitude_2,attack_low_amplitude
3.610918,1,0,0,1,1,1.123596,0,0.5,1.098612,1,attack_low_amplitude_2,attack_low_amplitude
0.693147,1,0,1,1,0,0,0,0.038462,3.295837,0,gateway_outage_2,gateway_outage
0.693147,1,0,1,1,0,0,0,0.038462,3.295837,0,gateway_outage_2,gateway_outage
0.693147,1,0,1,1,0,0,0,0.038462,3.295837,0,gateway_outage_2,gateway_outage
0.693147,1,0,1,1,0,0,0,0.038462,3.295837,0,gateway_outage_2,gateway_outage
0.693147,1,0,1,1,0,0,0,0.038462,3.295837,0,gateway_outage_2,gateway_outage
0.693147,1,0,1,1,0,0,0,0.038462,3.295837,0,gateway_outage_2,gateway_outage
0.693147,1,0,1,1,0,0,0,0.038462,3.295837,0,gateway_outage_2,gateway_outage
0.693147,1,0,1,1,0,0,0,0.038462,3.295837,0,gateway_outage_2,gateway_outage
3.951244,0.509804,0.490196,1,1,0,0.97076,0,0.038462,3.295837,0,gateway_outage_2,gateway_outage
3.73767,0.804878,0.195122,0,0.195122,0,0.997038,0,1,0.693147,0,retry_storm_2,retry_storm
3.73767,0.804878,0.195122,0,0.195122,0,0.997038,0,1,0.693147,0,retry_storm_2,retry_storm
0.693147,1,0,0,1,0,0,0,1,0.693147,0,normal_traffic_2,normal_traffic
0.693147,0,1,0,1,0,0,0,1,0.693147,0,normal_traffic_2,normal_traffic
0.693147,0,1,0,1,0,0,0,1,0.693147,0,normal_traffic_2,normal_traffic
0.693147,0,1,0,1,0,0,0,1,0.693147,0,normal_traffic_2,normal_traffic
0.693147,0,1,0,1,0,0,0,1,0.693147,0,normal_traffic_2,normal_traffic
0.693147,0,1,0,1,0,0,0,1,0.693147,0,normal_traffic_2,normal_traffic
0.693147,0,1,0,1,0,0,0,1,0.693147,0,normal_traffic_2,normal_traffic
0.693147,0,1,0,1,0,0,0,1,0.693147,0,normal_traffic_2,normal_traffic
3.73767,0.02439,0.97561,0,1,0,0.925567,0,1,0.693147,0,normal_traffic_2,normal_traffic
0.693147,1,0,0,1,0,0,0,0.1,2.397895,0,flash_sale_2,flash_sale
0.693147,1,0,0,1,0,0,0,0.1,2.397895,0,flash_sale_2,flash_sale
0.693147,1,0,0,1,0,0,0,0.1,2.397895,0,flash_sale_2,flash_sale
0.693147,1,0,0,1,0,0,0,0.1,2.397895,0,flash_sale_2,flash_sale
0.693147,1,0,0,1,0,0,0,0.1,2.397895,0,flash_sale_2,flash_sale
0.693147,1,0,0,1,0,0,0,0.1,2.397895,0,flash_sale_2,flash_sale
0.693147,1,0,0,1,0,0,0,0.1,2.397895,0,flash_sale_2,flash_sale
0.693147,1,0,0,1,0,0,0,0.1,2.397895,0,flash_sale_2,flash_sale
4.820282,0.081301,0.918699,0,1,0,0.989495,0,0.1,2.397895,0,flash_sale_2,flash_sale
1.609438,0.75,0.25,0,0.25,0,0.648373,1,0.3,1.791759,0,customer_error_2,customer_error
1.609438,0.75,0.25,0,0.25,0,0.177809,1,0.3,1.791759,0,customer_error_2,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.448276,1,0.3,1.791759,0,customer_error_2,customer_error
1.098612,0.5,0.5,0,0.5,0,0,1,0.3,1.791759,0,customer_error_2,customer_error
1.098612,0.5,0.5,0,0.5,0,0,1,0.3,1.791759,0,customer_error_2,customer_error
0.693147,0,1,0,1,0,0,0,0.3,1.791759,0,customer_error_2,customer_error
0.693147,0,1,0,1,0,0,0,0.3,1.791759,0,customer_error_2,customer_error
0.693147,0,1,0,1,0,0,0,0.3,1.791759,0,customer_error_2,customer_error
3.73767,0.243902,0.756098,0,0.756098,0,1.003313,0.16129,0.3,1.791759,0,customer_error_2,customer_error
4.26268,1,0,0,1,1,0.763884,0,1,0.693147,1,attack_loud_3,attack_loud
4.26268,1,0,0,1,1,0.763884,0,1,0.693147,1,attack_loud_3,attack_loud
1.386294,1,0,0,1,1,0.060998,0,0.05,3.091042,1,attack_distributed_3,attack_distributed
1.386294,1,0,0,1,1,0.064782,0,0.05,3.091042,1,attack_distributed_3,attack_distributed
1.386294,1,0,0,1,1,0.019417,0,0.05,3.091042,1,attack_distributed_3,attack_distributed
1.386294,1,0,0,1,1,0.066998,0,0.05,3.091042,1,attack_distributed_3,attack_distributed
4.110874,1,0,0,1,1,1.001797,0,0.05,3.091042,1,attack_distributed_3,attack_distributed
3.178054,1,0,0,1,1,0.611597,0,0.5,1.098612,1,attack_low_amplitude_3,attack_low_amplitude
3.178054,1,0,0,1,1,0.70324,0,0.5,1.098612,1,attack_low_amplitude_3,attack_low_amplitude
3.850148,1,0,0,1,1,0.910555,0,0.5,1.098612,1,attack_low_amplitude_3,attack_low_amplitude
1.098612,1,0,1,1,0,0,0,0.045455,3.688879,0,gateway_outage_3,gateway_outage
1.098612,1,0,1,1,0,0,0,0.045455,3.688879,0,gateway_outage_3,gateway_outage
1.098612,1,0,1,1,0,0,0,0.045455,3.688879,0,gateway_outage_3,gateway_outage
1.098612,1,0,1,1,0,0,0,0.045455,3.688879,0,gateway_outage_3,gateway_outage
1.098612,1,0,1,1,0,0,0,0.045455,3.688879,0,gateway_outage_3,gateway_outage
1.098612,0.5,0.5,1,1,0,0,0,0.045455,3.688879,0,gateway_outage_3,gateway_outage
1.098612,0.5,0.5,1,1,0,0,0,0.045455,3.688879,0,gateway_outage_3,gateway_outage
1.098612,0.5,0.5,1,1,0,0,0,0.045455,3.688879,0,gateway_outage_3,gateway_outage
4.158883,0.698413,0.301587,1,1,0,1.256916,0,0.045455,3.688879,0,gateway_outage_3,gateway_outage
3.931826,0.86,0.14,0,0.16,0,0.907765,0,1,0.693147,0,retry_storm_3,retry_storm
3.931826,0.86,0.14,0,0.16,0,0.907765,0,1,0.693147,0,retry_storm_3,retry_storm
1.098612,0.5,0.5,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_3,normal_traffic
0.693147,1,0,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_3,normal_traffic
0.693147,1,0,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_3,normal_traffic
1.098612,0,1,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_3,normal_traffic
1.098612,0,1,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_3,normal_traffic
1.098612,0,1,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_3,normal_traffic
1.098612,0,1,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_3,normal_traffic
1.098612,0,1,0,1,0,0,0,0.333333,1.386294,0,normal_traffic_3,normal_traffic
3.931826,0.06,0.94,0,1,0,1.071185,0,0.333333,1.386294,0,normal_traffic_3,normal_traffic
1.098612,0.5,0.5,0,1,0,0,0,0.05,3.044522,0,flash_sale_3,flash_sale
1.098612,0.5,0.5,0,1,0,0,0,0.05,3.044522,0,flash_sale_3,flash_sale
1.098612,0.5,0.5,0,1,0,0,0,0.05,3.044522,0,flash_sale_3,flash_sale
1.098612,0.5,0.5,0,1,0,0,0,0.05,3.044522,0,flash_sale_3,flash_sale
1.098612,0.5,0.5,0,1,0,0,0,0.05,3.044522,0,flash_sale_3,flash_sale
0.693147,1,0,0,1,0,0,0,0.05,3.044522,0,flash_sale_3,flash_sale
0.693147,1,0,0,1,0,0,0,0.05,3.044522,0,flash_sale_3,flash_sale
0.693147,1,0,0,1,0,0,0,0.05,3.044522,0,flash_sale_3,flash_sale
4.990433,0.136986,0.863014,0,1,0,0.965524,0,0.05,3.044522,0,flash_sale_3,flash_sale
1.609438,0.75,0.25,0,0.25,0,0.779586,1,0.230769,2.197225,0,customer_error_3,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.246377,1,0.230769,2.197225,0,customer_error_3,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.287356,1,0.230769,2.197225,0,customer_error_3,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.163265,1,0.230769,2.197225,0,customer_error_3,customer_error
1.386294,0.333333,0.666667,0,0.666667,0,0.993413,0.5,0.230769,2.197225,0,customer_error_3,customer_error
1.098612,0.5,0.5,0,0.5,0,0,1,0.230769,2.197225,0,customer_error_3,customer_error
1.098612,0.5,0.5,0,0.5,0,0,1,0.230769,2.197225,0,customer_error_3,customer_error
1.098612,0.5,0.5,0,0.5,0,0,1,0.230769,2.197225,0,customer_error_3,customer_error
3.951244,0.254902,0.745098,0,0.745098,0,1.058649,0.210526,0.230769,2.197225,0,customer_error_3,customer_error
4.584967,0.958763,0.041237,0,1,1,0.972341,0,1,0.693147,1,attack_loud_4,attack_loud
4.584967,0.958763,0.041237,0,1,1,0.972341,0,1,0.693147,1,attack_loud_4,attack_loud
1.386294,1,0,0,1,1,0.103509,0,0.038462,3.526361,1,attack_distributed_4,attack_distributed
1.386294,1,0,0,1,1,0.136324,0,0.038462,3.526361,1,attack_distributed_4,attack_distributed
1.386294,1,0,0,1,1,0.181513,0,0.038462,3.526361,1,attack_distributed_4,attack_distributed
1.386294,1,0,0,1,1,0.103986,0,0.038462,3.526361,1,attack_distributed_4,attack_distributed
4.394449,0.975,0.025,0,1,1,1.035744,0,0.038462,3.526361,1,attack_distributed_4,attack_distributed
2.833213,1,0,0,1,1,0.676325,0,0.275862,1.609438,1,attack_low_amplitude_4,attack_low_amplitude
2.833213,0.875,0.125,0,1,1,0.635515,0,0.275862,1.609438,1,attack_low_amplitude_4,attack_low_amplitude
2.772589,0.933333,0.066667,0,1,1,0.650693,0,0.275862,1.609438,1,attack_low_amplitude_4,attack_low_amplitude
2.772589,0.933333,0.066667,0,1,1,0.498222,0,0.275862,1.609438,1,attack_low_amplitude_4,attack_low_amplitude
4.143135,0.935484,0.064516,0,1,1,1.18534,0,0.275862,1.609438,1,attack_low_amplitude_4,attack_low_amplitude
1.098612,1,0,1,1,0,0,0,0.044444,3.78419,0,gateway_outage_4,gateway_outage
1.098612,1,0,1,1,0,0,0,0.044444,3.78419,0,gateway_outage_4,gateway_outage
1.098612,0.5,0.5,1,1,0,0,0,0.044444,3.78419,0,gateway_outage_4,gateway_outage
1.098612,0.5,0.5,1,1,0,0,0,0.044444,3.78419,0,gateway_outage_4,gateway_outage
1.098612,0.5,0.5,1,1,0,0,0,0.044444,3.78419,0,gateway_outage_4,gateway_outage
0.693147,1,0,1,1,0,0,0,0.044444,3.78419,0,gateway_outage_4,gateway_outage
0.693147,1,0,1,1,0,0,0,0.044444,3.78419,0,gateway_outage_4,gateway_outage
0.693147,1,0,1,1,0,0,0,0.044444,3.78419,0,gateway_outage_4,gateway_outage
4.406719,0.555556,0.444444,1,1,0,0.916256,0,0.044444,3.78419,0,gateway_outage_4,gateway_outage
3.496508,0.90625,0.09375,0,0.125,0,0.814629,0,0.5,1.098612,0,retry_storm_4,retry_storm
3.465736,0.935484,0.064516,0,0.129032,0,0.648091,0,0.5,1.098612,0,retry_storm_4,retry_storm
4.158883,0.920635,0.079365,0,0.126984,0,0.998883,0,0.5,1.098612,0,retry_storm_4,retry_storm
1.098612,0.5,0.5,0,1,0,0,0,0.2,1.791759,0,normal_traffic_4,normal_traffic
0.693147,1,0,0,1,0,0,0,0.2,1.791759,0,normal_traffic_4,normal_traffic
0.693147,1,0,0,1,0,0,0,0.2,1.791759,0,normal_traffic_4,normal_traffic
0.693147,1,0,0,1,0,0,0,0.2,1.791759,0,normal_traffic_4,normal_traffic
0.693147,1,0,0,1,0,0,0,0.2,1.791759,0,normal_traffic_4,normal_traffic
1.098612,0,1,0,1,0,0,0,0.2,1.791759,0,normal_traffic_4,normal_traffic
1.098612,0,1,0,1,0,0,0,0.2,1.791759,0,normal_traffic_4,normal_traffic
1.098612,0,1,0,1,0,0,0,0.2,1.791759,0,normal_traffic_4,normal_traffic
4.158883,0.079365,0.920635,0,1,0,1.060389,0,0.2,1.791759,0,normal_traffic_4,normal_traffic
1.098612,0.5,0.5,0,1,0,0,0,0.037037,3.332205,0,flash_sale_4,flash_sale
1.098612,0.5,0.5,0,1,0,0,0,0.037037,3.332205,0,flash_sale_4,flash_sale
1.098612,0.5,0.5,0,1,0,0,0,0.037037,3.332205,0,flash_sale_4,flash_sale
1.098612,0.5,0.5,0,1,0,0,0,0.037037,3.332205,0,flash_sale_4,flash_sale
0.693147,1,0,0,1,0,0,0,0.037037,3.332205,0,flash_sale_4,flash_sale
0.693147,1,0,0,1,0,0,0,0.037037,3.332205,0,flash_sale_4,flash_sale
0.693147,1,0,0,1,0,0,0,0.037037,3.332205,0,flash_sale_4,flash_sale
0.693147,1,0,0,1,0,0,0,0.037037,3.332205,0,flash_sale_4,flash_sale
5.209486,0.148352,0.851648,0,1,0,0.913704,0,0.037037,3.332205,0,flash_sale_4,flash_sale
1.609438,0.75,0.25,0,0.25,0,0.368784,1,0.214286,2.079442,0,customer_error_4,customer_error
1.609438,0.75,0.25,0,0.25,0,0.490856,1,0.214286,2.079442,0,customer_error_4,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.142857,1,0.214286,2.079442,0,customer_error_4,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.142857,1,0.214286,2.079442,0,customer_error_4,customer_error
1.386294,0.666667,0.333333,0,0.333333,0,0.012658,1,0.214286,2.079442,0,customer_error_4,customer_error
1.386294,0.333333,0.666667,0,0.666667,0,0.994536,0.5,0.214286,2.079442,0,customer_error_4,customer_error
1.098612,0.5,0.5,0,0.5,0,0,1,0.214286,2.079442,0,customer_error_4,customer_error
1.098612,0,1,0,1,0,0,0,0.214286,2.079442,0,customer_error_4,customer_error
4.174387,0.21875,0.78125,0,0.78125,0,1.174385,0.14,0.214286,2.079442,0,customer_error_4,customer_error
3.931826,0.94,0.06,0,1,1,0.981692,0,1,0.693147,1,attack_loud_5,attack_loud
3.931826,0.94,0.06,0,1,1,0.981692,0,1,0.693147,1,attack_loud_5,attack_loud
1.098612,1,0,0,1,1,0,0,0.046512,3.218876,1,attack_distributed_5,attack_distributed
1.098612,1,0,0,1,1,0,0,0.046512,3.218876,1,attack_distributed_5,attack_distributed
1.098612,1,0,0,1,1,0,0,0.046512,3.218876,1,attack_distributed_5,attack_distributed
1.098612,1,0,0,1,1,0,0,0.046512,3.218876,1,attack_distributed_5,attack_distributed
3.828641,0.955556,0.044444,0,1,1,0.923219,0,0.046512,3.218876,1,attack_distributed_5,attack_distributed
2.944439,0.888889,0.111111,0,1,1,0.579124,0,0.5,1.098612,1,attack_low_amplitude_5,attack_low_amplitude
2.890372,0.941176,0.058824,0,1,1,0.634057,0,0.5,1.098612,1,attack_low_amplitude_5,attack_low_amplitude
3.583519,0.914286,0.085714,0,1,1,0.77423,0,0.5,1.098612,1,attack_low_amplitude_5,attack_low_amplitude
0.693147,1,0,1,1,0,0,0,0.035714,3.367296,0,gateway_outage_5,gateway_outage
0.693147,1,0,1,1,0,0,0,0.035714,3.367296,0,gateway_outage_5,gateway_outage
0.693147,1,0,1,1,0,0,0,0.035714,3.367296,0,gateway_outage_5,gateway_outage
0.693147,1,0,1,1,0,0,0,0.035714,3.367296,0,gateway_outage_5,gateway_outage
0.693147,1,0,1,1,0,0,0,0.035714,3.367296,0,gateway_outage_5,gateway_outage
0.693147,1,0,1,1,0,0,0,0.035714,3.367296,0,gateway_outage_5,gateway_outage
0.693147,1,0,1,1,0,0,0,0.035714,3.367296,0,gateway_outage_5,gateway_outage
0.693147,1,0,1,1,0,0,0,0.035714,3.367296,0,gateway_outage_5,gateway_outage
3.931826,0.56,0.44,1,1,0,0.873291,0,0.035714,3.367296,0,gateway_outage_5,gateway_outage
3.713572,0.8,0.2,0,0.2,0,0.958764,0,1,0.693147,0,retry_storm_5,retry_storm
3.713572,0.8,0.2,0,0.2,0,0.958764,0,1,0.693147,0,retry_storm_5,retry_storm
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,normal_traffic_5,normal_traffic
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,normal_traffic_5,normal_traffic
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,normal_traffic_5,normal_traffic
0.693147,1,0,0,1,0,0,0,0.25,1.609438,0,normal_traffic_5,normal_traffic
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,normal_traffic_5,normal_traffic
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,normal_traffic_5,normal_traffic
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,normal_traffic_5,normal_traffic
0.693147,0,1,0,1,0,0,0,0.25,1.609438,0,normal_traffic_5,normal_traffic
